sex	decade	pct	name
F	1880	0.069	Elva
F	1880	0.047	Olivia
F	1880	0.044	Ophelia
F	1880	0.035	Georgie
F	1880	0.044	Elnora
F	1880	0.067	Violet
F	1880	0.057	Adele
F	1880	0.052	Lily
F	1880	0.053	Linnie
F	1880	0.079	Loretta
F	1880	0.044	Madge
F	1880	0.036	Polly
F	1880	0.060	Virgie
F	1880	0.045	Eugenia
F	1880	0.053	Lucile
F	1880	0.084	Lucille
F	1880	0.041	Mabelle
F	1880	0.035	Rosalie
F	1880	0.033	Kittie
F	1880	0.050	Meta
F	1880	0.031	Angie
F	1880	0.041	Dessie
F	1880	0.022	Georgiana
F	1880	0.053	Lila
F	1880	0.047	Regina
F	1880	0.062	Selma
F	1880	0.052	Wilhelmina
F	1880	0.027	Bridget
F	1880	0.031	Lilla
F	1880	0.037	Malinda
F	1880	0.029	Vina
F	1880	0.048	Freda
F	1880	0.054	Gertie
F	1880	0.054	Jeannette
F	1880	0.038	Louella
F	1880	0.035	Mandy
F	1880	0.041	Roberta
F	1880	0.037	Cassie
F	1880	0.030	Corinne
F	1880	0.039	Ivy
F	1880	0.033	Melissa
F	1880	0.032	Lyda
F	1880	0.048	Naomi
F	1880	0.045	Norma
F	1880	0.032	Bell
F	1880	0.035	Margie
F	1880	0.032	Nona
F	1880	0.049	Zella
F	1880	0.035	Dovie
F	1880	0.034	Elvira
F	1880	0.041	Erma
F	1880	0.056	Irma
F	1880	0.028	Leota
F	1880	0.028	William
F	1880	0.031	Artie
F	1880	0.034	Blanch
F	1880	0.025	Charity
F	1880	0.039	Lorena
F	1880	0.028	Lucretia
F	1880	0.033	Orpha
F	1880	0.041	Alvina
F	1880	0.030	Annette
F	1880	0.036	Catharine
F	1880	0.049	Elma
F	1880	0.051	Geneva
F	1880	0.035	Janet
F	1880	0.038	Lee
F	1880	0.022	Leora
F	1880	0.029	Lona
F	1880	0.035	Miriam
F	1880	0.032	Zora
F	1880	0.038	Linda
F	1880	0.022	Octavia
F	1880	0.030	Sudie
F	1880	0.026	Zula
F	1880	0.015	Adella
F	1880	0.028	Alpha
F	1880	0.066	Frieda
F	1880	0.025	George
F	1880	0.022	Joanna
F	1880	0.019	Leonora
F	1880	0.029	Priscilla
F	1880	0.023	Tennie
F	1880	0.028	Angeline
F	1880	0.014	Docia
F	1880	0.020	Ettie
F	1880	0.070	Flossie
F	1880	0.018	Hanna
F	1880	0.033	Letha
F	1880	0.012	Minta
F	1880	0.019	Retta
F	1880	0.019	Rosella
F	1880	0.025	Adah
F	1880	0.022	Berta
F	1880	0.025	Elisabeth
F	1880	0.022	Elise
F	1880	0.101	Goldie
F	1880	0.040	Leola
F	1880	0.023	Margret
F	1880	0.014	Adaline
F	1880	0.030	Floy
F	1880	0.015	Idella
F	1880	0.034	Juanita
F	1880	0.016	Lenna
F	1880	0.016	Lucie
F	1880	0.020	Missouri
F	1880	0.032	Nola
F	1880	0.021	Zoe
F	1880	0.023	Eda
F	1880	0.026	Isabell
F	1880	0.020	James
F	1880	0.019	Julie
F	1880	0.017	Letitia
F	1880	0.035	Madeline
F	1880	0.014	Malissa
F	1880	0.017	Mariah
F	1880	0.019	Pattie
F	1880	0.035	Vivian
F	1880	0.018	Almeda
F	1880	0.018	Aurelia
F	1880	0.034	Claire
F	1880	0.031	Dolly
F	1880	0.278	Hazel
F	1880	0.020	Jannie
F	1880	0.030	Kathleen
F	1880	0.018	Kathrine
F	1880	0.017	Lavinia
F	1880	0.018	Marietta
F	1880	0.023	Melvina
F	1880	0.028	Ona
F	1880	0.019	Pinkie
F	1880	0.012	Samantha
F	1880	0.021	Susanna
F	1880	0.027	Chloe
F	1880	0.014	Donnie
F	1880	0.041	Elsa
F	1880	0.108	Gladys
F	1880	0.012	Matie
F	1880	0.032	Pearle
F	1880	0.024	Vesta
F	1880	0.021	Vinnie
F	1880	0.033	Antoinette
F	1880	0.015	Clementine
F	1880	0.026	Edythe
F	1880	0.017	Harriette
F	1880	0.016	Libbie
F	1880	0.016	Lilian
F	1880	0.022	Lue
F	1880	0.014	Lutie
F	1880	0.023	Magdalena
F	1880	0.014	Meda
F	1880	0.025	Rita
F	1880	0.023	Tena
F	1880	0.020	Zelma
F	1880	0.023	Adelia
F	1880	0.011	Annetta
F	1880	0.021	Antonia
F	1880	0.026	Dona
F	1880	0.013	Elizebeth
F	1880	0.020	Georgianna
F	1880	0.029	Gracie
F	1880	0.017	Iona
F	1880	0.034	Lessie
F	1880	0.022	Leta
F	1880	0.017	Liza
F	1880	0.025	Mertie
F	1880	0.023	Molly
F	1880	0.029	Neva
F	1880	0.030	Oma
F	1880	0.013	Alida
F	1880	0.014	Alva
F	1880	0.030	Cecile
F	1880	0.027	Cleo
F	1880	0.020	Donna
F	1880	0.023	Ellie
F	1880	0.025	Ernestine
F	1880	0.027	Evie
F	1880	0.033	Frankie
F	1880	0.021	Helene
F	1880	0.017	Minna
F	1880	0.014	Myrta
F	1880	0.010	Prudence
F	1880	0.015	Queen
F	1880	0.019	Rilla
F	1880	0.022	Savannah
F	1880	0.019	Tessie
F	1880	0.021	Tina
F	1880	0.016	Agatha
F	1880	0.011	America
F	1880	0.028	Anita
F	1880	0.008	Arminta
F	1880	0.026	Dorothea
F	1880	0.013	Ira
F	1880	0.013	Luvenia
F	1880	0.050	Marjorie
F	1880	0.023	Maybelle
F	1880	0.018	Mellie
F	1880	0.025	Nan
F	1880	0.031	Pearlie
F	1880	0.009	Sidney
F	1880	0.027	Velma
F	1880	0.021	Clare
F	1880	0.022	Constance
F	1880	0.018	Dixie
F	1880	0.027	Ila
F	1880	0.018	Iola
F	1880	0.021	Jimmie
F	1880	0.009	Louvenia
F	1880	0.018	Lucia
F	1880	0.016	Ludie
F	1880	0.013	Luna
F	1880	0.010	Metta
F	1880	0.015	Patsy
F	1880	0.015	Phebe
F	1880	0.012	Sophronia
F	1880	0.016	Adda
F	1880	0.013	Avis
F	1880	0.013	Betsy
F	1880	0.031	Bonnie
F	1880	0.022	Cecil
F	1880	0.015	Cordie
F	1880	0.005	Emmaline
F	1880	0.011	Ethelyn
F	1880	0.015	Hortense
F	1880	0.024	June
F	1880	0.017	Louie
F	1880	0.015	Lovie
F	1880	0.017	Marcella
F	1880	0.010	Melinda
F	1880	0.016	Mona
F	1880	0.016	Odessa
F	1880	0.025	Veronica
F	1880	0.011	Aimee
F	1880	0.010	Annabel
F	1880	0.021	Ava
F	1880	0.018	Bella
F	1880	0.014	Carolina
F	1880	0.012	Cathrine
F	1880	0.013	Christena
F	1880	0.018	Clyde
F	1880	0.019	Dena
F	1880	0.011	Dolores
F	1880	0.008	Eleanore
F	1880	0.016	Elmira
F	1880	0.031	Fay
F	1880	0.013	Frank
F	1880	0.013	Jenny
F	1880	0.009	Kizzie
F	1880	0.010	Lonnie
F	1880	0.010	Loula
F	1880	0.011	Magdalene
F	1880	0.010	Mettie
F	1880	0.010	Mintie
F	1880	0.008	Peggy
F	1880	0.017	Reba
F	1880	0.011	Serena
F	1880	0.023	Vida
F	1880	0.008	Zada
F	1880	0.010	Abigail
F	1880	0.008	Celestine
F	1880	0.008	Celina
F	1880	0.011	Claudie
F	1880	0.012	Clemmie
F	1880	0.013	Connie
F	1880	0.008	Daisie
F	1880	0.011	Deborah
F	1880	0.008	Dessa
F	1880	0.012	Easter
F	1880	0.017	Eddie
F	1880	0.015	Emelia
F	1880	0.015	Emmie
F	1880	0.010	Imogene
F	1880	0.012	India
F	1880	0.012	Jeanne
F	1880	0.009	Joan
F	1880	0.017	Lenore
F	1880	0.009	Liddie
F	1880	0.014	Lotta
F	1880	0.011	Mame
F	1880	0.008	Nevada
F	1880	0.009	Rachael
F	1880	0.009	Robert
F	1880	0.009	Sina
F	1880	0.018	Willa
F	1880	0.014	Aline
F	1880	0.012	Beryl
F	1880	0.017	Charles
F	1880	0.005	Daisey
F	1880	0.008	Dorcas
F	1880	0.006	Edmonia
F	1880	0.008	Effa
F	1880	0.006	Eldora
F	1880	0.018	Eloise
F	1880	0.011	Emmer
F	1880	0.013	Era
F	1880	0.008	Gena
F	1880	0.011	Henry
F	1880	0.009	Iris
F	1880	0.006	Izora
F	1880	0.018	Lennie
F	1880	0.007	Lissie
F	1880	0.013	Mallie
F	1880	0.010	Malvina
F	1880	0.014	Mathilde
F	1880	0.021	Mazie
F	1880	0.009	Queenie
F	1880	0.011	Rosina
F	1880	0.006	Salome
F	1880	0.008	Theodora
F	1880	0.008	Therese
F	1880	0.010	Vena
F	1880	0.011	Wanda
F	1880	0.009	Wilda
F	1880	0.013	Altha
F	1880	0.012	Anastasia
F	1880	0.016	Besse
F	1880	0.005	Bird
F	1880	0.008	Birtie
F	1880	0.010	Clarissa
F	1880	0.005	Claude
F	1880	0.011	Delilah
F	1880	0.009	Diana
F	1880	0.006	Emelie
F	1880	0.015	Erna
F	1880	0.033	Fern
F	1880	0.014	Florida
F	1880	0.008	Frona
F	1880	0.019	Hilma
F	1880	0.009	Joseph
F	1880	0.009	Juliet
F	1880	0.007	Leonie
F	1880	0.003	Lugenia
F	1880	0.006	Mammie
F	1880	0.013	Manda
F	1880	0.002	Manerva
F	1880	0.007	Manie
F	1880	0.010	Nella
F	1880	0.007	Paulina
F	1880	0.011	Philomena
F	1880	0.020	Rae
F	1880	0.008	Selina
F	1880	0.014	Sena
F	1880	0.006	Theodosia
F	1880	0.013	Tommie
F	1880	0.019	Una
F	1880	0.014	Vernie
F	1880	0.011	Adela
F	1880	0.012	Althea
F	1880	0.011	Amalia
F	1880	0.004	Amber
F	1880	0.014	Angelina
F	1880	0.014	Annabelle
F	1880	0.005	Anner
F	1880	0.008	Arie
F	1880	0.011	Clarice
F	1880	0.009	Corda
F	1880	0.012	Corrie
F	1880	0.008	Dell
F	1880	0.005	Dellar
F	1880	0.012	Donie
F	1880	0.022	Doris
F	1880	0.011	Elda
F	1880	0.010	Elinor
F	1880	0.010	Emeline
F	1880	0.010	Emilia
F	1880	0.013	Esta
F	1880	0.007	Estell
F	1880	0.009	Etha
F	1880	0.008	Fred
F	1880	0.010	Hope
F	1880	0.003	Indiana
F	1880	0.014	Ione
F	1880	0.013	Jettie
F	1880	0.025	Johnnie
F	1880	0.004	Josiephine
F	1880	0.017	Kitty
F	1880	0.019	Lavina
F	1880	0.006	Leda
F	1880	0.006	Letta
F	1880	0.012	Mahala
F	1880	0.014	Marcia
F	1880	0.006	Margarette
F	1880	0.034	Maudie
F	1880	0.010	Maye
F	1880	0.010	Norah
F	1880	0.009	Oda
F	1880	0.002	Patty
F	1880	0.014	Paula
F	1880	0.003	Permelia
F	1880	0.006	Rosalia
F	1880	0.004	Roxanna
F	1880	0.008	Sula
F	1880	0.017	Vada
F	1880	0.014	Winnifred
F	1880	0.005	Adline
F	1880	0.009	Almira
F	1880	0.007	Alvena
F	1880	0.007	Arizona
F	1880	0.004	Becky
F	1880	0.011	Bennie
F	1880	0.007	Bernadette
F	1880	0.010	Camille
F	1880	0.008	Cordia
F	1880	0.012	Corine
F	1880	0.008	Dicie
F	1880	0.004	Dove
F	1880	0.005	Drusilla
F	1880	0.006	Elena
F	1880	0.009	Elenora
F	1880	0.003	Elmina
F	1880	0.012	Ethyl
F	1880	0.009	Evalyn
F	1880	0.006	Evelina
F	1880	0.023	Faye
F	1880	0.009	Huldah
F	1880	0.003	Idell
F	1880	0.016	Inga
F	1880	0.004	Irena
F	1880	0.008	Jewell
F	1880	0.009	Kattie
F	1880	0.004	Lavenia
F	1880	0.010	Leslie
F	1880	0.005	Lovina
F	1880	0.004	Lulie
F	1880	0.008	Magnolia
F	1880	0.001	Margeret
F	1880	0.010	Margery
F	1880	0.004	Media
F	1880	0.006	Millicent
F	1880	0.006	Nena
F	1880	0.013	Ocie
F	1880	0.002	Orilla
F	1880	0.007	Osie
F	1880	0.024	Pansy
F	1880	0.015	Ray
F	1880	0.006	Rosia
F	1880	0.012	Rowena
F	1880	0.014	Shirley
F	1880	0.004	Tabitha
F	1880	0.007	Thomas
